,id,Machine Failure Pred,Machine Failure Prob
0,136429,0,0.002224717265137495
1,136430,0,0.0010989953434034122
2,136431,0,0.002708957198735002
3,136432,0,0.0030878824812229956
4,136433,0,0.003862456984985317
5,136434,0,0.002733386737535797
6,136435,0,0.003932162773467274
7,136436,0,0.005051015200397991
8,136437,0,0.0010455430134382578
9,136438,0,0.0012387848967392353
10,136439,0,0.0025143558014215283
11,136440,0,0.002206621870806247
12,136441,0,0.0012283772439394191
13,136442,0,0.0018886035762974126
14,136443,0,0.002209714867305796
15,136444,0,0.005595412743957554
16,136445,0,0.0010698074953122982
17,136446,1,0.9921930062395666
18,136447,0,0.0024665540411070315
19,136448,0,0.001960552583197427
20,136449,0,0.005620356416291224
21,136450,0,0.004123182474037072
22,136451,0,0.02048282742726597
23,136452,0,0.022015417376961416
24,136453,0,0.003978400739584567
25,136454,0,0.0015731263917211785
26,136455,0,0.0018532619172560384
27,136456,0,0.007431084160207807
28,136457,0,0.006570317824311854
29,136458,0,0.004924729569720741
30,136459,0,0.003679631965105686
31,136460,0,0.0028757063702746677
32,136461,0,0.0012482439526831962
33,136462,0,0.01782265648086753
34,136463,0,0.0018011219777463948
35,136464,0,0.0033891988173242113
36,136465,0,0.0015466453300352876
37,136466,0,0.0019682991465998917
38,136467,0,0.001295682388531925
39,136468,0,0.002889161215461592
40,136469,0,0.0013978810829025955
41,136470,0,0.002855714129220518
42,136471,0,0.008956008713676829
43,136472,0,0.007164663253326371
44,136473,0,0.002409056559845653
45,136474,0,0.002460757781178045
46,136475,0,0.0031536798656000664
47,136476,0,0.005521325747764711
48,136477,0,0.002473658202231624
49,136478,0,0.002127333999158926
50,136479,0,0.0013534720225288521
51,136480,0,0.006633179538865227
52,136481,0,0.0023932874185007736
53,136482,0,0.032754043121393586
54,136483,0,0.003140239091691946
55,136484,0,0.0010527072428138998
56,136485,0,0.001462968583403041
57,136486,0,0.0025204321777282076
58,136487,0,0.0014969556018609711
59,136488,0,0.0042903065623870395
60,136489,0,0.0011515984522575459
61,136490,0,0.023661399230139525
62,136491,0,0.003624874931526741
63,136492,0,0.0030792414003812706
64,136493,0,0.0033875289967063094
65,136494,0,0.0011133405625472043
66,136495,0,0.0028861391552655016
67,136496,0,0.0048202612076221705
68,136497,0,0.0021107763762424295
69,136498,0,0.009984552182875747
70,136499,0,0.0014248254570577218
71,136500,0,0.0007067571405698586
72,136501,0,0.0016171752896524056
73,136502,0,0.005279011315895336
74,136503,0,0.0029821142813877626
75,136504,0,0.001281157316128865
76,136505,0,0.0011404270736429327
77,136506,0,0.002822076009964891
78,136507,0,0.000766543484414695
79,136508,0,0.0010768901215878319
80,136509,0,0.0039232444454544
81,136510,0,0.0016228926422656041
82,136511,0,0.010369528418695225
83,136512,0,0.0008962219777325044
84,136513,0,0.005685221365361779
85,136514,0,0.002117059975760697
86,136515,0,0.0024092685560973205
87,136516,0,0.003633205757934693
88,136517,0,0.0017545590768377843
89,136518,0,0.0016680303306342537
90,136519,0,0.002882388538243532
91,136520,0,0.001948643456997607
92,136521,0,0.0018589951127387146
93,136522,0,0.003242167784809118
94,136523,0,0.0012141071154640982
95,136524,0,0.0013499085099267756
96,136525,0,0.004467328309133972
97,136526,0,0.005834837605252065
98,136527,0,0.007416072128770075
99,136528,0,0.001014130294895044
100,136529,0,0.006112898097096025
101,136530,0,0.0030390820532937056
102,136531,0,0.003689198432036975
103,136532,0,0.003717959837440087
104,136533,0,0.002989412177161619
105,136534,0,0.0005765971074679189
106,136535,0,0.002890971733992136
107,136536,0,0.0023002967652236434
108,136537,0,0.0009815464823226183
109,136538,0,0.005844482247684273
110,136539,0,0.001341500097797067
111,136540,0,0.002026283269911281
112,136541,0,0.0008464636931885
113,136542,0,0.004181762289095104
114,136543,0,0.00747421787641307
115,136544,0,0.0022865439442472874
116,136545,0,0.004112404264882108
117,136546,0,0.000753123927080209
118,136547,0,0.003218723589739396
119,136548,0,0.0023643443781294813
120,136549,0,0.0021185747672520924
121,136550,0,0.00653856246098916
122,136551,0,0.0013660513323703704
123,136552,0,0.0017065962147374116
124,136553,0,0.0014490005245373237
125,136554,0,0.0032962066107603827
126,136555,0,0.014434224849924831
127,136556,0,0.006419923460221896
128,136557,0,0.0044714980978357325
129,136558,0,0.0041608428638418024
130,136559,0,0.0028623148834248887
131,136560,0,0.00484822468596601
132,136561,0,0.007502219602451883
133,136562,0,0.0021189179090595834
134,136563,0,0.0027781554760760796
135,136564,0,0.001527715251630028
136,136565,0,0.016178895941847477
137,136566,0,0.0012734215771099133
138,136567,0,0.005266879024728757
139,136568,0,0.0037163849720503765
140,136569,0,0.00417031501653711
141,136570,0,0.0009432032599299149
142,136571,0,0.005778490458986683
143,136572,0,0.003961709236738731
144,136573,0,0.0016644055839600221
145,136574,0,0.005852627947699939
146,136575,0,0.0016291234520521736
147,136576,0,0.005209014264360467
148,136577,0,0.0049753437396217745
149,136578,0,0.0015021945648225029
150,136579,0,0.006717874091548965
151,136580,0,0.001446048850747919
152,136581,0,0.0012599903006493564
153,136582,0,0.0012269020616728185
154,136583,0,0.001290578592487443
155,136584,0,0.002110935977893285
156,136585,0,0.004512514536876821
157,136586,0,0.052988832185336565
158,136587,0,0.001040737306396443
159,136588,0,0.0058133943595327624
160,136589,0,0.00276089572676814
161,136590,0,0.001649284901688701
162,136591,0,0.003716468032097933
163,136592,0,0.00963264729225685
164,136593,0,0.0057628432436862
165,136594,0,0.0006444717991755923
166,136595,0,0.0016468598620672824
167,136596,0,0.0012887365655646266
168,136597,0,0.0015858403117432955
169,136598,0,0.005398259525098702
170,136599,0,0.002537056532941908
