PassengerId,Survived_pred,Survived_prob
892,0,0.11066750873847644
893,1,0.600303595736002
894,0,0.2031092070923128
895,0,0.11071171516858101
896,1,0.6009871153772071
897,0,0.11074156444208705
898,1,0.6003849534922605
899,0,0.20479898983853945
900,1,0.60033323273708
901,0,0.11153614212808324
902,0,0.11067104128938
903,0,0.34474551916058194
904,1,0.9153710329698594
905,0,0.20453581612687693
906,1,0.9144863202569237
907,1,0.7565510335924767
908,0,0.20334154862435647
909,0,0.11063546569236948
910,1,0.6004231995510804
911,1,0.6003326896572794
912,0,0.3488229118471611
913,0,0.11042066597540619
914,1,0.8643574971924144
915,0,0.3490652309369648
916,1,0.9276091867060534
917,0,0.11102182727430661
918,1,0.9145202064436246
919,0,0.11063546569236948
920,0,0.46556380148097126
921,0,0.11140425811184342
922,0,0.20453581612687693
923,0,0.20501849325171967
924,1,0.6020576553782033
925,1,0.6024288068345123
926,0,0.39762539693518284
927,0,0.1106356884064557
928,1,0.6004393613106679
929,1,0.6005185507706985
930,0,0.11075615998431676
931,0,0.11327529166417247
932,0,0.11096422051762099
933,0,0.46503418193291085
934,0,0.11066861198701554
935,1,0.7550868890493259
936,1,0.9421692090216337
937,0,0.11067259012661394
938,0,0.4654565304530639
939,0,0.11066330799564102
940,1,0.9151212522919578
941,1,0.6014538803529877
942,0,0.4695215628232447
943,0,0.2035759054659243
944,1,0.7560821458007055
945,1,0.9033739960943874
946,0,0.2036236084524564
947,0,0.11180210720167684
948,0,0.11067104128938
949,0,0.15026882210009967
950,0,0.11110695851271823
951,1,0.9225934120035314
952,0,0.11067104128938
953,0,0.20344196390673894
954,0,0.11066330799564102
955,1,0.6003973402809197
956,1,0.5148489076040105
957,1,0.7558833138133267
958,1,0.6004172778276272
959,0,0.34674478168348905
960,0,0.4653006579380802
961,1,0.9033739960943874
962,1,0.6004005727202992
963,0,0.11067104128938
964,1,0.6004231995510804
965,0,0.4651911556812331
966,1,0.9206125677636497
967,0,0.489896677104979
968,0,0.11067922063750947
969,1,0.9191196555393324
970,0,0.20339830055210678
971,1,0.6004005727202992
972,0,0.11106150196803763
973,0,0.49128110071541303
974,0,0.34474551916058194
975,0,0.11067104128938
976,0,0.203198263228026
977,0,0.11101939123318594
978,1,0.6004172778276272
979,1,0.6004393613106679
980,1,0.6004005727202992
981,0,0.20427289372820143
982,1,0.6011954864863696
983,0,0.11066463397261815
984,1,0.8795265715047533
985,0,0.11067922063750947
986,0,0.34474551916058194
987,0,0.11066573719606483
988,1,0.8807628000742687
989,0,0.11067259012661394
990,1,0.6004140454334449
991,0,0.11067922063750947
992,1,0.914244385918361
993,0,0.20453581612687693
994,0,0.11066330799564102
995,0,0.11066463397261815
996,1,0.6004997009234007
997,0,0.11144938906051906
998,0,0.11066706319852686
999,0,0.11066330799564102
1000,0,0.11071436815207493
1001,0,0.29663785269860443
1002,0,0.20357699767425227
1003,1,0.6004043481984221
1004,1,0.9132350287744101
1005,1,0.6003402281000786
1006,1,0.9210164920340627
1007,0,0.11101939123318594
1008,0,0.11059371373797863
1009,1,0.6134797510317397
1010,0,0.4715679453646124
1011,1,0.7563801880284087
1012,1,0.7553608579482317
1013,0,0.11066330799564102
1014,1,0.9143418662854597
1015,0,0.11063679137724002
1016,0,0.11066330799564102
1017,1,0.601479716634043
1018,0,0.11066573719606483
1019,1,0.602402991410199
1020,0,0.20339830055210678
1021,0,0.11067922063750947
1022,0,0.11067922063750947
1023,0,0.46529562990510365
1024,1,0.6026890847912613
1025,0,0.11059371373797863
1026,0,0.11067104128938
1027,0,0.11066883475952373
1028,0,0.11063546569236948
1029,0,0.20339830055210678
1030,1,0.6004393613106679
1031,0,0.11275689716645908
1032,1,0.6054516787010213
1033,1,0.8717545810984034
1034,1,0.5148489076040105
1035,0,0.20453581612687693
1036,0,0.3448124791135179
1037,0,0.11120812604101102
1038,0,0.46842942015082206
1039,0,0.11067922063750947
1040,0,0.3448124791135179
1041,0,0.20453581612687693
1042,1,0.9213077869234744
1043,0,0.11067104128938
1044,0,0.11101939123318594
1045,1,0.6009736491449502
1046,0,0.11192324445255865
1047,0,0.11065270068060519
1048,1,0.9210164920340627
1049,1,0.6004140454334449
1050,0,0.46503418193291085
1051,1,0.6011793349965655
1052,1,0.6003984134517634
1053,0,0.11106150196803763
1054,1,0.7551367169916876
1055,0,0.11062353515441685
1056,0,0.20339830055210678
1057,1,0.60224485950629
1058,0,0.4682460232407666
1059,0,0.1120833748897108
1060,1,0.8641069323171973
1061,1,0.6005573355280183
1062,0,0.11065270068060519
1063,0,0.11063546569236948
1064,0,0.1109899177792037
1065,0,0.1106356884064557
1066,0,0.11192324445255865
1067,1,0.7576688493418483
1068,1,0.7574461439703679
1069,0,0.46890975181608113
1070,1,0.9076626083835015
1071,1,0.915408248432635
1072,0,0.20339830055210678
1073,0,0.4726312262234686
1074,1,0.8795774474982343
1075,0,0.11066330799564102
1076,1,0.8882664668665691
1077,0,0.20366038536474795
1078,1,0.7558833138133267
1079,0,0.11067922063750947
1080,1,0.6083637880765836
1081,0,0.20339830055210678
1082,0,0.20453581612687693
1083,0,0.34474551916058194
1084,0,0.11102182727430661
1085,0,0.20334154862435647
1086,0,0.20510634348854528
1087,0,0.11066883475952373
1088,0,0.49873745082694687
1089,1,0.6004038051509335
1090,0,0.2031800884589547
1091,1,0.6004474421084504
1092,1,0.6014022060958576
1093,0,0.11101650846766271
1094,1,0.5104541011328544
1095,1,0.7563801880284087
